method,n_genes,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,dv_p_lt_0.05,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_true_de,n_true_dv,TP_de_fdr5,FP_de_fdr5,prec_de,recall_de,F1_de,TP_dv_fdr5,FP_dv_fdr5,prec_dv,recall_dv,F1_dv,n_post_de_0.5,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_0.8,n_post_dvonly_0.8,n_post_dv_call,n_dv_fdr_call,n_post_dg_0.8,n_post_dgonly_0.8,n_post_dg_call,n_dg_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,prior_dg_used,post_de_threshold,post_dv_threshold,post_dg_threshold,post_de_realized_fdr,post_dv_realized_fdr,post_dg_realized_fdr,n_dv_model_raw_fdr5,n_dv_model_fdr5,n_dv_bf_fdr5,n_dv_mix_fdr5,TP_de_post08,FP_de_post08,prec_de_post08,recall_de_post08,F1_de_post08
aggregateBioVar,11207,16.12,,28,46,,,0.480872066253472,,,0.193760576939327,muscat_sim,False,,,,,,,,,,1681.0,,1.0,27.0,0.0357,0.0006,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregateBioVar,26179,64.31,,18,30,,,0.630080459250339,,,0.361973542144405,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregateBioVar,39851,86.73,,27,42,,,0.742289717639215,,,0.33468649348631,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregateBioVar,41861,49.78,,10059,11915,,,0.285960601282786,,,0.784122855633016,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,5303,36.98,,0,0,,,0.584158415841584,,,0.0,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,18890,166.7,,3785,5131,,,0.235528942115768,,,0.0,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,11207,61.26,,0,0,,,0.499001996007984,,,0.0,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,23238,58.45,,0,0,,,0.365269461077844,,,0.0,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,31018,148.49,,0,0,,,0.343313373253493,,,0.0,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,39129,261.95,,7241,10585,,,0.149700598802395,,,0.0,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,5303,27.95,,0,0,,,1.0,,,0.437176119690925,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,35635,190.0,,4,42,,,1.0,,,0.100115177088356,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,11207,150.33,,18,66,,,0.450150858718729,,,0.774956430635176,muscat_sim,False,,,,,,,,,,1681.0,,1.0,17.0,0.0556,0.0006,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,26179,308.05,,146,776,,,0.411938591127841,,,1.31997610831052,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,39851,227.31,,1476,2614,,,0.60198072300443,,,0.947704186490063,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_GAMLSS,41861,480.77,,493,1496,,,0.396684405611097,,,1.30517902635574,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_diffVar,5303,1.01,,0,0,,,0.448243967429055,,,0.193785609244891,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
