method,n_features,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_spike,TP_fdr5,FP_fdr5,precision_fdr5,recall_fdr5,F1_fdr5,n_true_de,n_true_dv,sim_TP_de,sim_FP_de,sim_prec_de,sim_recall_de,sim_F1_de,sim_TP_dv,sim_FP_dv,sim_prec_dv,sim_recall_dv,sim_F1_dv,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_call,n_dv_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,post_de_threshold,post_dv_threshold,post_de_realized_fdr,post_dv_realized_fdr,precision,recall,F1,sim_TP_de_post08,sim_FP_de_post08,sim_prec_de_post08,sim_recall_de_post08,sim_F1_de_post08
limma,1277,0.37,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
limma,9580,0.97,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msqrob2,1253,26.53,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
msqrob2,800,27.71,,6,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5455,0.7059,,,,,
msqrob2,5022,38.02,,3126,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1394,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4459,0.8913,0.5945,,,,,
msqrob2,82,25.72,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msqrob2,1470,33.14,,83,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494,0.9762,0.656,,,,,
msqrob2,1489,37.77,,42,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7857,0.9706,0.8684,,,,,
msqrob2,1277,26.6,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
msqrob2,9580,55,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSstats,1253,10.33,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
MSstats,800,9.28,,4,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3636,0.5333,,,,,
MSstats,5022,4.38,,3077,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1370,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4452,0.876,0.5904,,,,,
MSstats,82,4.53,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSstats,1470,4.56,,101,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,39,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861,0.9286,0.5455,,,,,
MSstats,1489,9.82,,67,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4925,0.9706,0.6535,,,,,
MSstats,1277,4.46,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
MSstats,9580,4.25,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proDA,1253,56.3,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
proDA,800,21.61,,0,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
proDA,5022,104.86,,2554,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1295,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507,0.828,0.6289,,,,,
proDA,82,15.85,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proDA,1470,36.38,,55,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273,0.9524,0.8247,,,,,
proDA,1489,35.68,,31,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9118,0.9538,,,,,
proDA,1277,44.94,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
proDA,9580,461.3,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prolfqua,1253,9.48,,3,,,,,,,,cptac,FALSE,,,,,,,,,30,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
prolfqua,800,4.79,,0,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
prolfqua,5022,42.15,,2641,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1250,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4733,0.7992,0.5945,,,,,
prolfqua,82,1.34,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prolfqua,1470,13.23,,84,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4762,0.9524,0.6349,,,,,
prolfqua,1489,12.3,,46,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6304,0.8529,0.725,,,,,
prolfqua,1277,8.18,,3,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,0.0104,0.0205,,,,,
prolfqua,9580,60.25,,1,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROTS,1253,20.03,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,800,13.56,,0,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,5022,107.72,,0,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,82,4.63,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROTS,1470,23.4,,0,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,1489,23.94,,0,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,1277,19.67,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ROTS,9580,174.11,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttest,1253,0.41,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ttest,800,0.23,,0,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ttest,5022,2.17,,1943,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1036,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5332,0.6624,0.5908,,,,,
ttest,82,0.13,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttest,1470,0.39,,41,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8293,0.8095,0.8193,,,,,
ttest,1489,0.33,,21,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,0.5294,0.6545,,,,,
ttest,1277,0.35,,0,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
ttest,9580,2.97,,0,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
